"name","abv","ibu","style"
"21st Amendment IPA (2006)",7,70,"IPA"
"Brew Free! or Die IPA (2008)",7,70,"IPA"
"Brew Free! or Die IPA (2009)",7,70,"IPA"
"Hop Crisis",9.7,94,"DIPA"
"Brew Free! or Die IPA",7,65,"IPA"
"Bimini Twist",7,82,"IPA"
"Citrafest",5,45,"IPA"
"Scarecrow",6.9,65,"IPA"
"Honey Kolsch",4.6,15,"Lager"
"Rude Parrot IPA",5.9,75,"IPA"
"Ballz Deep Double IPA",8.4,82,"DIPA"
"Colorado Native",5.5,26,"Lager"
"Colorado Native (2011)",5.5,26,"Lager"
"Jockamo IPA",6.5,52,"IPA"
"Abita Amber",4.5,17,"Lager"
"Citra Ass Down",8.2,68,"IPA"
"Citra Ass Down",8,68,"DIPA"
"35 K",7.7,25,"Other"
"Rules are Rules",5,25,"Lager"
"Bloody Show",5.5,17,"Lager"
"Rico Sauvin",7.6,68,"DIPA"
"Pile of Face",6,65,"IPA"
"Maylani's Coconut Stout",5.3,35,"Other"
"Pre Flight Pilsner",5.2,33,"Lager"
"P-Town Pilsner",4,20,"Lager"
"Yellow Wolf Imperial IPA",8.2,103,"DIPA"
"Alaskan Amber",5.3,18,"Lager"
"Desolation IPA",6.2,43,"IPA"
"Barney Flats Oatmeal Stout",5.7,13,"Other"
"Hop Ottin' IPA",7,80,"IPA"
"Barney Flats Oatmeal Stout",5.7,13,"Other"
"El Steinber Dark Lager",5.5,25,"Lager"
"Barney Flats Oatmeal Stout (2012)",5.7,13,"Other"
"Hop Ottin' IPA (2011)",7,80,"IPA"
"Long Leaf",7.1,75,"IPA"
"Porter (a/k/a Black Gold Porter)",6,23,"Other"
"Quakertown Stout",9.2,50,"Other"
"Green Bullet Organic India Pale Ale",7,45,"IPA"
"Rocket Girl",3.2,27,"Lager"
"Ninja Porter",5.3,26,"Other"
"Shiva IPA",6,69,"IPA"
"Independence Pass Ale",7,67,"IPA"
"Trolley Stop Stout",5.7,40,"Other"
"Bitter Bitch Imperial IPA",8.2,138,"DIPA"
"Poop Deck Porter",6.2,35,"Other"
"Hop A-Peel",7.5,115,"DIPA"
"Vanilla Java Porter",5.5,12,"Other"
"Grand Circus IPA",5,62,"IPA"
"Atwater's Lager",5,12,"Lager"
"Avery JoeÃ¢â¬â¢s Premium American Pilsner",4.7,42,"Lager"
"White Rascal",5.6,10,"Lager"
"Avery India Pale Ale",6.3,69,"IPA"
"OktoberBeast",7.2,22,"Lager"
"Topcutter India Pale Ale",6.8,70,"IPA"
"Even Keel",3.8,40,"IPA"
"Ballast Point Pale Ale",5.2,23,"Lager"
"Big Eye India Pale Ale",7,75,"IPA"
"Sculpin IPA",7,70,"IPA"
"Thai.p.a",7,46,"IPA"
"Barrio Blanco",6,60,"IPA"
"Hop in the Ã¢â¬ËPool Helles",4.9,22,"Lager"
"Ultra Gnar Gnar IPA",6.7,60,"IPA"
"In-Tents India Pale Lager",6.8,62,"Other"
"Lost Meridian Wit",5,20,"Lager"
"Celestial Meridian Cascadian Dark Lager",5.1,45,"Lager"
"Wagon Party",5.4,55,"Lager"
"Sky-Five",6.7,70,"IPA"
"Stargrazer",5,28,"Lager"
"Wonderstuff",5.4,48,"Lager"
"On the Count of 3 (2015)",7,42,"Lager"
"Stowaway IPA",6.9,69,"IPA"
"Hoptopus Double IPA",8.8,108,"DIPA"
"Back Bay IPA",6.8,85,"IPA"
"Moar",4.4,44,"IPA"
"Harness the Winter",7.2,87,"IPA"
"Bent Hop Golden IPA",6.2,68,"IPA"
"Venture Pils",5,38,"Lager"
"Lost Sailor IPA",5.5,40,"IPA"
"Hemlock Double IPA",9.5,104,"DIPA"
"Dark Star",8,54,"Other"
"Galaxy IPA",7.5,60,"IPA"
"Big River Pilsner",5,32,"Lager"
"House Brand IPA",6,55,"IPA"
"Big Sky IPA",6.2,65,"IPA"
"Big Sky IPA (2012)",6.2,65,"IPA"
"Arcus IPA",6.9,81,"IPA"
"Bad Axe Imperial IPA",9.8,76,"DIPA"
"Morning Wood",5.5,35,"Other"
"Bark Bite IPA",6.6,50,"IPA"
"Blackmarket Rye IPA",7.5,35,"IPA"
"Black Market Hefeweizen",5,8,"Lager"
"American Red Porter",7.1,45,"Other"
"Nordskye",4.8,47,"IPA"
"North Third Stout",6,30,"Other"
"51K IPA",7,51,"IPA"
"Quarter Mile Double IPA",8,80,"DIPA"
"Blue Mountain Classic Lager",5.3,22,"Lager"
"KÃÂ¶lsch 151",4.9,16,"Lager"
"Blue Point White IPA",6,40,"IPA"
"Toasted Lager",5.5,28,"Lager"
"Longhop IPA",4.2,30,"IPA"
"Lucky Buck",4,34,"Other"
"Bomb Lager (Old Recipe)",4.5,27,"Lager"
"Firestarter India Pale Ale",6.6,72,"IPA"
"Wood Splitter Pilsner",4.8,30,"Lager"
"Gyptoberfest",5.6,26,"Lager"
"Farmer Wirtz India Pale Ale",7,94,"IPA"
"Firestarter India Pale Ale",6.6,72,"IPA"
"Noche Dulce",7.1,16,"Other"
"Rebel IPA",6.5,45,"IPA"
"Boston Lager",4.9,30,"Lager"
"Boston Lager",4.9,30,"Lager"
"Samuel Adams Octoberfest",5.3,15,"Lager"
"Boston Lager",4.9,30,"Lager"
"Heavy Lifting",6.2,80,"IPA"
"Plum St. Porter",6,52,"Other"
"Plum St. Porter",5.7,52,"Other"
"Bozone HopZone IPA",7,80,"IPA"
"Bozone Hefe Weizen",6,25,"Lager"
"Lucky U IPA",6.2,68,"IPA"
"Last Stop IPA",7.2,60,"IPA"
"Fairweather IPA",6.1,64,"IPA"
"East India Pale Ale",6.8,47,"IPA"
"East India Pale Ale",6.8,47,"IPA"
"Black Noddy Lager (Current)",5.2,40,"Lager"
"Summer's Wit",6,20,"Lager"
"More Cowbell",9,118,"DIPA"
"Hopkick Dropkick",9.9,115,"DIPA"
"3:33 Black IPA",7.2,86,"IPA"
"Couch Select Lager",5,14,"Other"
"F5 IPA",6.8,100,"IPA"
"Hopportunity Knocks IPA",6.8,100,"IPA"
"Lawnmower Lager",3.9,16,"Lager"
"Caldera IPA (2009)",6.1,94,"IPA"
"Caldera IPA (2007)",6.1,94,"IPA"
"Caldera IPA",6.1,94,"IPA"
"Dead-Eye DIPA",9,130,"DIPA"
"Fisherman's IPA",5.5,64,"IPA"
"Fisherman's Pils",5.4,35,"Lager"
"Wisconsin Amber",5.2,28,"Lager"
"Lake House",4.6,18,"Lager"
"Ghost Ship White IPA",5.6,55,"IPA"
"Lake House",4.6,18,"Lager"
"Mutiny IPA",6.2,70,"IPA"
"077XX",7.8,80,"DIPA"
"Boat Beer",4.2,35,"IPA"
"Whitecap Wit",4.8,16,"Lager"
"Gone A-Rye",8.5,90,"DIPA"
"Dankosaurus",6.8,70,"IPA"
"Main St. Virginia Ale",5,40,"Lager"
"Chin Music Amber Lager",4.5,24,"Lager"
"Main St. Virginia Ale",5,40,"Lager"
"Lucky Day IPA",7.2,85,"IPA"
"Terrace Hill Double IPA",9.5,99,"DIPA"
"Black Me Stout",6,45,"Other"
"Killer Kolsch",5,22,"Lager"
"Missile IPA",7,65,"IPA"
"Oktoberfest",5.5,40,"Lager"
"IPA #11",5.7,58,"IPA"
"Bay of Bengal Double IPA (2014)",8.9,126,"DIPA"
"Churchkey Pilsner Style Beer",4.9,29,"Lager"
"Cubano Espresso",5.5,25,"Lager"
"Operation Homefront",6.2,65,"IPA"
"Hopped on the High Seas (Hop #529)",7,60,"IPA"
"Hopped on the High Seas (Calypso)",7,60,"IPA"
"Dry-Hopped On The High Seas Caribbean-Style IPA",7,60,"IPA"
"Hopped on the High Seas (Citra)",7,60,"IPA"
"Hopped on the High Seas (Ahtanum)",7,60,"IPA"
"Humidor Series India Pale Ale",7.5,70,"IPA"
"Jai Alai IPA Aged on White Oak",7.5,70,"IPA"
"JosÃÂ© MartÃÂ­ American Porter",8,65,"Other"
"Jai Alai IPA",7.5,70,"IPA"
"Florida Cracker Belgian Wit",5,18,"Lager"
"Jacaranada Rye IPA",6.7,60,"IPA"
"Rhode Island Blueberry",4.6,11,"Lager"
"Newport Storm IPA",6.5,75,"IPA"
"Des Moines IPA",6.8,75,"IPA"
"Capital Gold Golden Lager",4.8,22,"Lager"
"Crabtree Oatmeal Stout",7.5,29,"Other"
"Lava Lake Wit",5.2,15,"Lager"
"Tropicalia",6.5,65,"IPA"
"Summertime Ale",5.2,23,"Lager"
"El Hefe Speaks",5.3,11,"Lager"
"On the Wings of Armageddon",9.2,115,"DIPA"
"The Corruption",6.5,80,"IPA"
"Dream Crusher Double IPA",8.5,100,"DIPA"
"Deep Ellum IPA",7,70,"IPA"
"Thrasher Session India Pale Ale",4.5,44,"IPA"
"Chuli Stout",5.9,55,"Other"
"Twister Creek India Pale Ale",6.5,71,"IPA"
"Weissenheimer",5.2,16,"Lager"
"Vertex IPA",6.3,76,"IPA"
"Hoperation Overload",9.6,85,"DIPA"
"California Sunshine Rye IPA",7.1,85,"IPA"
"Filthy Hoppin' IPA",6.5,72,"IPA"
"Hop Abomination",6.6,100,"IPA"
"Dry Dock Hefeweizen",4.3,12,"Lager"
"Category 3 IPA",6.1,64,"IPA"
"Crank Yanker IPA",7.8,74,"IPA"
"Crank Yanker IPA (2011)",7.8,74,"IPA"
"Dottie Seattle Lager",4.9,25,"Lager"
"Little Sister India Style Session Ale",4.3,60,"IPA"
"Country Boy IPA",6.2,80,"IPA"
"White Reaper",7,61,"IPA"
"General George Patton Pilsner",5.4,48,"Lager"
"Wood Chipper India Pale Ale",6.7,70,"IPA"
"Hop Stalker Fresh Hop IPA",7,80,"IPA"
"Sudice American Stout",7,58,"Other"
"Laimas KÃÂ¶lsch Style Ale",5,20,"Lager"
"Moirai India Pale Ale",7,70,"IPA"
"Second Fiddle",8.2,80,"DIPA"
"Hodad Porter",5.5,30,"Other"
"Czech Yo Self",5.5,45,"Lager"
"FMB 101",4.8,20,"Lager"
"Easy Jack",4.5,47,"IPA"
"Union Jack",7.5,75,"IPA"
"Half Cycle IPA",6,104,"IPA"
"Snake Dog IPA",7.1,60,"IPA"
"Underdog Atlantic Lager",4.7,28,"Other"
"Flying Mouse 4",7,70,"IPA"
"What the Butler Saw",5,18,"Lager"
"1916 Shore Shiver",6.9,65,"IPA"
"Vortex IPA",7.4,97,"IPA"
"KSA",4.6,17,"Lager"
"Villager",6.3,42,"IPA"
"Centennial IPA",7.2,65,"IPA"
"All Day IPA",4.7,42,"IPA"
"El Chingon IPA",7.6,73,"IPA"
"Block Party Robust Porter",5.7,40,"Other"
"The Gadget",6.4,90,"IPA"
"Sunbru KÃÂ¶lsch",5.2,17,"Lager"
"Hop Knot IPA",6.7,47,"IPA"
"Big Star White IPA",7,70,"IPA"
"Batch 69 IPA",6.9,69,"IPA"
"Twisted Helles Summer Lager",5.5,18,"Lager"
"Bat Outta Helles",4.2,20,"Lager"
"Rye Wit",4.2,10,"Lager"
"Soul Doubt",5.9,70,"IPA"
"Interurban IPA",6.5,80,"IPA"
"Gateway Kolsch Style Ale",5.3,32,"Lager"
"Salamander Slam",7,73,"IPA"
"No Wake IPA",7.2,50,"IPA"
"Clean Shave IPA",6.7,70,"IPA"
"Might As Well IPL",7.2,75,"Other"
"2020 IPA",7.4,74,"IPA"
"Wolf Among Weeds IPA",8,70,"IPA"
"Better Weather IPA",9.4,92,"IPA"
"Point the Way IPA",5.9,60,"IPA"
"Golden Road Hefeweizen",4.6,15,"Lager"
